class,precision,recall,f1-score,support,accuracy
left,0.6207627118644068,0.6114357262103506,0.6160639192598822,2396,
right,0.6101340033500837,0.6194727891156463,0.6147679324894516,2352,
accuracy,,,,4748,0.6154170176916597
macro avg,0.6154483576072453,0.6154542576629984,0.615415925874667,4748,
weighted avg,0.6154976060460228,0.6154170176916597,0.6154219308681272,4748,
