class,precision,recall,f1-score,support,accuracy
left,0.6240860215053764,0.6055926544240401,0.6147002753653887,2396,
right,0.6099876186545604,0.6284013605442177,0.6190575916230366,2352,
accuracy,,,,4748,0.6168913226621735
macro avg,0.6170368200799684,0.6169970074841289,0.6168789334942126,4748,
weighted avg,0.6171021454512232,0.6168913226621735,0.6168587437390172,4748,
