participant,lead,stage_used,k,smooth_ms,threshold_uv,n_spindles,stage_minutes,spindle_density_per_min,avg_duration_sec
EPCTL11,CZ,N2,1.2,100,3.401659650108033,484,149.0,3.248322147651007,0.7725826446280992
EPCTL11,CZ,N2,1.2,200,3.311006818622942,619,149.0,4.154362416107382,0.8045589660743133
EPCTL11,CZ,N2,1.2,300,3.24029131419926,726,149.0,4.87248322147651,0.8387809917355371
EPCTL11,CZ,N2,1.5,100,3.8022329556806485,368,149.0,2.469798657718121,0.7429130434782608
EPCTL11,CZ,N2,1.5,200,3.6889166996926748,447,149.0,3.0,0.7796465324384788
EPCTL11,CZ,N2,1.5,300,3.600521875142294,537,149.0,3.6040268456375837,0.8083426443202979
EPCTL11,CZ,N2,1.8,100,4.202806261253264,269,149.0,1.8053691275167785,0.7101747211895912
EPCTL11,CZ,N2,1.8,200,4.066826580762407,340,149.0,2.2818791946308723,0.743085294117647
EPCTL11,CZ,N2,1.8,300,3.9607524360853277,405,149.0,2.7181208053691277,0.7685753086419752
